reviewer_type,decision,metric,n,mean,std,median
tree,Reject,Total_Premises,322,9.319875776397515,4.721546289243331,9.0
tree,Reject,n_arcs,322,21.071428571428573,5.907215383872106,22.0
tree,Reject,n_weaknesses,322,8.801242236024844,5.586833515723926,11.0
tree,Reject,n_strengths,322,2.919254658385093,2.384987196761557,3.0
tree,Reject,MCS,316,0.47850854430379747,0.11733166539575275,0.4729
tree,Reject,AR,316,0.7802490506329114,0.16035476809215712,0.7633000000000001
tree,Reject,SD,316,0.04163955696202532,0.13431256858936522,0.0
tree,Reject,CD,316,0.2856705696202531,0.25680506149079996,0.24
tree,Reject,D1_actionability_mean,316,1.0400022151898736,0.2503291318425517,1.0
tree,Reject,D3_justification_mean,316,0.6144443037974684,0.44106582721369864,0.469
tree,Reject,D4_solution_mean,316,0.34149367088607596,0.33834516182626834,0.25
tree,Reject,D5_tone_mean,316,1.255807594936709,0.5919063268923129,1.3684
