reviewer_type,metric,mean_Accept,mean_Reject,delta_Accept_minus_Reject,pct_delta_vs_Reject,n_Accept,n_Reject,std_Accept,std_Reject,cohens_d
human,D4_solution_mean,0.48046800762045233,0.4585199016563148,0.021948105964137543,0.04786729187730836,678,322,0.2270558331517594,0.1923263099061163,0.10137976024514787
human,D5_tone_mean,1.6179918780727633,1.5385299016563148,0.07946197641644859,0.05164798963666761,678,322,0.21212751623844348,0.19641844271858866,0.3834949235721819
human,DoA_score,0.26838672566371685,0.27337826086956524,-0.004991535205848385,-0.018258713000701823,678,322,0.05445381060776203,0.0555496647876942,-0.09107199167864763
human,MCS,0.5654493854473943,0.5666880745341616,-0.001238689086767275,-0.002185839339897038,678,322,0.07604163283766113,0.06365363919592809,-0.01713521566881465
human,Minor_Recall,0.24605861393805306,0.2641237920560748,-0.01806517811802172,-0.06839663317489547,678,321,0.05372213929904208,0.06175534503702297,-0.3201611390936417
human,R_premise,0.5651508849557522,0.5697549689440994,-0.0046040839883472184,-0.008080814103086727,678,322,0.0949611304643536,0.09085898520950592,-0.049156735196197655
human,Raw_CPS,4.030956139011799,4.508149927570094,-0.47719378855829486,-0.10585135725854258,678,321,1.2431472384454412,1.2275370227585125,-0.3854060952063847
human,SD,0.10349682030481808,0.10237114389233956,0.0011256764124785157,0.010996032374732017,678,322,0.0992561113327996,0.08250870866825813,0.011950512337548824
human,S_depth,0.47288244837758103,0.480341304347826,-0.007458855970244982,-0.01552824190368575,678,322,0.06673688056595531,0.062066413546339336,-0.11427497152032264
human,Total_Arguments,4.640105703048181,5.086848390446522,-0.44674268739834133,-0.08782307887086967,678,321,1.4914005760110092,1.3607016441046518,-0.3079423572754683
human,Total_Claims,8.624867256637168,8.311335403726709,0.3135318529104598,0.0377234027602683,678,322,3.9664105077738583,3.1999484642347364,0.08389772408291224
human,Total_Premises,10.888097345132742,10.83944099378882,0.04865635134392221,0.004488824780890741,678,322,3.9701068832047524,3.4512711547681723,0.012767543607295711
human,Total_Valid_Flaws_Found,4.652120206489675,5.198281412253375,-0.5461612057637,-0.10506572508296497,678,321,1.757115259607482,1.7192794542813081,-0.3129754653215543
human,nCPS,0.9743940194198623,0.968375593457944,0.006018425961918261,0.006214970722699898,678,321,0.0389191299385729,0.02679104919046017,0.16962325841165662
human,n_arcs,10.92305801376598,10.99223602484472,-0.06917801107874055,-0.006293352046151846,678,322,3.0797755362890795,2.9726304478282928,-0.022713156205292545
human,n_strengths,3.1190634218289093,2.5313664596273293,0.58769696220158,0.23216589599915194,678,322,1.2995006282765493,1.0783592636800188,0.4767529431719072
human,n_weaknesses,3.453871681415929,4.594409937888199,-1.14053825647227,-0.24824477395164993,678,322,1.4344203769851258,1.7258274101326514,-0.7434092032820693
reviewer2,AR,0.7822713559322033,0.7896882352941176,-0.007416879361914264,-0.009392161400444143,590,289,0.16988749511003667,0.17910924040931,-0.04287955343475791
reviewer2,CD,0.5764423728813559,0.5837861591695502,-0.0073437862881943206,-0.012579582733926122,590,289,0.27238899934120286,0.28830829614704234,-0.026443376443494447
reviewer2,Critical_Recall,0.6384327338129497,0.5813651724137932,0.057067561399156586,0.09816130051653336,556,290,0.3044633710842279,0.3053222586953242,0.1872554939603804
reviewer2,D1_actionability_mean,1.1665259322033896,1.2003923875432525,-0.03386645533986288,-0.028212820817011888,590,289,0.3298960178649014,0.3578763669747857,-0.09980122846458934
reviewer2,D3_justification_mean,0.9342174576271187,0.9501782006920415,-0.01596074306492279,-0.016797631279372786,590,289,0.43909191025794,0.4177384162594739,-0.03692941411764079
reviewer2,D4_solution_mean,0.26336000000000004,0.2725484429065744,-0.009188442906574334,-0.03371306329467455,590,289,0.25980058140518464,0.240698788410658,-0.03621969626639039
reviewer2,D5_tone_mean,1.602522033898305,1.5543747404844293,0.0481472934138758,0.030975344722129518,590,289,0.4355313272715356,0.49008746004329257,0.10601151875136271
reviewer2,DoA_score,0.1680864106351551,0.17368286604361372,-0.005596455408458628,-0.03222226541939546,677,321,0.09516957409176244,0.1029769603443417,-0.057255091080645845
reviewer2,MCS,0.575905593220339,0.574312802768166,0.0015927904521729763,0.002773384894948862,590,289,0.10384515401695635,0.1103285636341539,0.015023775644080329
reviewer2,Minor_Recall,0.46341066666666664,0.45448691588785056,0.008923750778816075,0.01963478037950405,675,321,0.17603520277496698,0.184004380425497,0.0499539509395721
