conference,reviewer_type,decision,metric,n,mean,std
iclr2024,sea,Accept,D1_actionability_mean,145,1.0426579310344828,0.3475293805862889
iclr2024,sea,Accept,D3_justification_mean,145,0.4011703448275862,0.3612081654216047
iclr2024,sea,Accept,D4_solution_mean,145,0.38772275862068967,0.2936068236758196
iclr2024,sea,Accept,D5_tone_mean,145,1.5607537931034483,0.17581826476534168
iclr2024,sea,Reject,Total_Valid_Flaws_Found,54,6.7592592592592595,2.3865597343202385
iclr2024,sea,Reject,Critical_Recall,43,0.29501627906976746,0.2974060187131011
iclr2024,sea,Reject,Minor_Recall,54,0.40045370370370365,0.14865579682413996
iclr2024,sea,Reject,nCPS,54,0.9726203703703704,0.043888513903872696
iclr2024,sea,Reject,Raw_CPS,54,5.36088888888889,2.2063126172773506
iclr2024,sea,Reject,Total_Arguments,54,6.777777777777778,2.3923357708004898
